"Bab";"Topik";"Pasal";"Deskripsi"
"Bab V";"Kejahatan Terhadap Ketertiban Umum";"Pasal 157";"(1) Barang siapa menyiarkan, mempertunjukkan atau menempelkan tulisan atau 
lukisan di muka umum, yang isinya mengandung pernyataan perasaan permusuhan, 
kebencian atau penghinaan di antara atau terhadap golongan-golongan rakyat 
Indonesia, dengan maksud supaya isinya diketuhui atau lebih diketahui oleh umum, 
diancam dcngan pidana penjara paling lama dua tahun enam bulan atau pidana denda 
paling hanyak empat rupiah lima ratus rupiah. 
(2) Jika yang bersalah melakukan kejahatan tersebut padu waktu menjalankan 
pencariannya dan pada saat, itu belum lewat lima tahun sejak pemidanaannya 
menjadi tetap karena kejahatan semacam itu juga, yang bersangkutan dapat di- 
larang menjalankan pencarian tersebut. 
"
"Bab V";"Kejahatan Terhadap Ketertiban Umum";"Pasal 158";"Barang siapa menyelenggarakan pemilihan anggota untuk suatu lembaga kenegaraan 
asing di Indonesia, atau menyiapkan ataupun memudahkan pemilihan itu, baik yang 
diadakan di Indonesia maupun di luar negeri, diancam dengan pidana penjara 
paling lama dua tahun atau pidana denda paling banyak tujuh ribu lima ratus 
rupiah. 
"
"Bab V";"Kejahatan Terhadap Ketertiban Umum";"Pasal 159";"Barang siapa turut serta dalam pemilihan umum, baik yang diadakan di Indonesia 
maupun di luar negeri, seperti yang dimaksud- kan dalam pasal 158, diancam 
dengan pidana penjara paling lama enam bulan atau pidana denda paling banyak 
seribu lima ratus rupiah.
"
"Bab V";"Kejahatan Terhadap Ketertiban Umum";"Pasal 160";"Barang siapa di muka umum dengan lisan atau tulisan menghasut supaya melakukan 
perbuatan pidana, melakukan kekerasan terhadap penguasa umum atau tidak menuruti 
baik ketentuan undang-undang maupun perintah jabatan yang diherikan berdasar 
ketentuan undang-undang, diancam dengan pidana penjara paling lama enam tahun 
utau pidana denda paling banyak empat ribu lima ratus rupiah. 
"
"Bab V";"Kejahatan Terhadap Ketertiban Umum";"Pasal 161";"(1) Barang siapa menyiarkan, mempertunjukkan atau menempelkan di muka umum 
tulisan yang menghasut supaya melakukan perbuatan pidana, menentang penguasa 
umum dengan kekerasan, atau menentang sesuatu hal lain seperti tersebut dalam 
pasal di atas, dengan maksud supaya isi yang menghasut diketahui atau lebih 
diketahui oleh umum, diancam dengan pidana penjara paling lama empat tahun atau 
pidana denda paling banyak empat ribu lima ratus rupiah.
(2) Jika yang bersalah melakukan kejahatan tersebut pada waktu menjalankan 
pencariannya dan pada saat itu belum lewat lima tahun sejak pemidanaannya 
menjadi tetap karena kejahatan semacam itu juga, yang bersangkutan dapat 
dilarang menjalankan pencarian tersebut. 
"
"Bab V";"Kejahatan Terhadap Ketertiban Umum";"Pasal 161 bis";"Pasal ini ditiadakan berdasarkan Undang-undang No. 1 Tahun 1946, pasal 8, butir 
34. 
"
"Bab V";"Kejahatan Terhadap Ketertiban Umum";"Pasal 162";"Barang siapa di muka umum dengan lisan atau tulisan menawarkan untuk memberi 
keterangan, kesempatan atau sarana guna melakukan tindak pidana, diancam dengan 
pidana penjara paling lama sembilan hulan atau pidana denda paling banyak empat 
ribu lima ratus rupiah. 
"
"Bab V";"Kejahatan Terhadap Ketertiban Umum";"Pasal 163";"(1) Barang siapa menyiarkan, mempertunjukkan atau menempelkan di muka umum 
tulisan yang berisi penawaran untuk memberi keterangan, kesempatan atau sarana 
guna melakukan tindak pidana dengan maksud supaya penawaran itu diketahui atau 
lebih diketahui oleh umum, diancam dengan pidana penjara paling lama empat bulan 
dua minggu atau pidana denda paling banyak empat ribu lima ratus rupiah.
(2) Jika yang bersalah melakukan kejahatan tersebut pada waktu menjalankan 
pencariannya dan pada saat itu belum lewat lima tahun sejak pemidanaannya 
menjadi tetap karena kejahatan semacam itu juga yang bersangkutan dapat dilarang 
menjalankan pencarian tersebut. 
"
"Bab V";"Kejahatan Terhadap Ketertiban Umum";"Pasal 163 bis";"(1) Barang siapa dengan menggunakan salah satu sarana tersebut dalam pasal 55 
ke-2 berusaha menggerakkan orang lain supaya melakukan kejahatan, dan kejahatan 
itu atau percobaan untuk itu dapat dipidana tidak terjadi, diancam dengan pidana 
penjara paling lama enam tahun atau pidana denda paling banyak tiga ratus 
rupiah, tetapi dengan pengertian bahwa sekali-kali tidak dapat dijatuhkan pidana 
yang lebih berat daripada yang dapat dijatuhkan karena percobaan kejahatan atau 
apahila percobaan itu tidak dapat dipidana karena kejahatan itu sendiri. 
(2) Aturan tersebut tidak berlaku, jika tidak mengakibatkan kejahatan atau 
percobaan kejahatan disebabkan karena kehendaknya sendiri.
"
"Bab V";"Kejahatan Terhadap Ketertiban Umum";"Pasal 164";"Barang siapa mengetahui ada sesuatu permufakatan untuk melakukan kejahatan 
berdasarkan pasal-pasal 104, 106, 107, dan 108, 113, 115, 124, 187 atau 187 bis, 
sedang masih ada waktu untuk mencegah kejahatan itu, dan dengan sengaja tidak 
segera memberitahukan tentang hal itu kepada pejabat kehakiman atau kepolisian 
atau kepada orang yang terancam oleh kejahatan itu, dipidana jika kejahatan itu 
jadi dilakukan, dengan pidana penjara paling lama satu tahun empat bulan atau 
pidana denda paling banyak tiga ratus rupiah.
"
"Bab V";"Kejahatan Terhadap Ketertiban Umum";"Pasal 165";"(1) Barang siapa mengetahui ada niat untuk melakukan salah satu kejahatan 
berdasarkan pasal-pasal 104, 106, 107, dan 108, 110 - 113, dan 115 - 129 dan 131 
atau niat untuk lari dari tentara dalam masa perang, untuk desersi, untuk 
membunuh dengan rencana, untuk menculik atau memperkosa atau mengetahui adanya 
niat untuk melakukan kejahatan tersebut dalam bab 8 dalam kitab undang-undang 
ini, sepanjang kejahatan itu membahayakan nyawa orang atau untuk melakukan salah 
satu kejahatan berdasarkan pasal- pasal 224 228, 250 atau salah satu kejahatan 
berdasarkan pasal-pasal 264 dan 275 sepanjang mengenai surat kredit yang 
diperuntukkan bagi peredaran, sedang masih ada waktu untuk mencegah kejahatan 
itu, dan dengan sengaja tidak segera memberitahukan hal itu kepada pejabat 
kehakiman atau kepolisian atau kepada orang yang terancam oleh kejahatan itu, 
dipidana jika kejahatan itu jadi dilakukan, dengan pidana penjara paling lama 
sembilan bulan atau pidana denda paling banyak empat ribu lima ratus rupiah.
(2) Pidana tersebut diterapkan terhadap orang yang mengetahui bahwa sesuatu 
kejahatan berdasarkan ayat 1 telah dilakukan, dan telah membahayakan nyawa orang 
pada saat akihat masih dapat dicegah, dengan sengaja tidak memheritahukannya 
kepada pihak- pihak tersebut dalam ayat l. 
"
"Bab V";"Kejahatan Terhadap Ketertiban Umum";"Pasal 166";"Ketentuan dalam pasal 164 dan 165 tidak berlaku bagi orang yang dengan 
memberitahukan itu mungkin mendatangkan bahaya penuntutan pidana bagi diri 
sendiri, bagi seorang keluarganya sedarah atau semenda dalam garis lurus atau 
garis menyimpang derajat kedua atau ketiga, bagi suami atau bekas suaminya, atau 
bagi orang lain yang jika dituntut, berhubung dengan jabatan atau pencariannya, 
dimungkinkan pembebasan menjadi saksi terhadap orang tersebut. 
"
"Bab V";"Kejahatan Terhadap Ketertiban Umum";"Pasal 167";"(1) Barang siapa memaksa masuk ke dalam rumah, ruangan atau pekarangan tertutup 
yang dipakai orang lain dengan me- lawan hukum atau berada di situ dengan 
melawan hukum, dan atas permintaan yang berhak atau suruhannya tidak pergi 
dengan segera, diancam dengan pidana penjara paling lema sembilan bulan atau 
pidana denda paling banyak empat ribu lima ratus rupiah. 
(2) Barang siapa masuk dengan merusak atau memanjat, dengan menggunakan anak 
kunci palsu, perintah palsu atau pakaian jahatan palsu, atau barang siapa tidak 
setahu yang berhak lebih dahulu serta bukan karena kekhilafan masuk dan 
kedapatan di situ pada waktu malam, dianggap memaksa masuk. 
(3) Jika mengeluarkan ancaman atau menggunakan sarana yang dapat menakutkan 
orang, diancam dengan pidana penjara paling lama satu tahun empat bulan.
(4) Pidana tersebut dalam ayat 1 dan 3 dapat ditambah sepertiga jika yang 
melakukan kejahatan dua orang atau lebih dengan bersekutu. 
"
"Bab V";"Kejahatan Terhadap Ketertiban Umum";"Pasal 168";"(1) Barang siapa memaksa masuk ke dalam ruangan untuk dinas umum, atau berada di 
situ dengan melawan hukum, dan atas permintaan pejabat yang berwenang tidak 
pergi dengan segera, diancam dengan pidana penjara paling lama empat bulan dua 
minggu atau pidana denda paling banyak empat ribu lima ratus rupiah.
(2) Barang siapa masuk dengan merusak atau memanjat, dengan menggunakan anak 
kunci palsu, perintah palsu, atau pakaian jabatan palsu, atau barang siapa tidak 
setahu pejabat yang berwenang lebih dahulu serta bukan karena kekhilafan masuk 
dan kedapatan di situ pada waktu malam, dianggap memaksa masuk. 
(3) Jika ia mengeluarkan ancaman atau menggunakan sarana yang dapat menakutkan 
orang, diancam dengan pidana penjara menjadi paling lama satu tahun empat bulan. 

(4) Pidana tersebut dalam ayat 1 dan 3 dapat ditambah sepertiga, jika yang 
melakukan kejahatan dua orang atau lebih dengan bersekutu. 
"
"Bab V";"Kejahatan Terhadap Ketertiban Umum";"Pasal 169";"(1) Turut serta dalam perkumpulan yang bertujuan melakukan kejahatan. atau turut 
serta dalam perkumpulan lainnya yang dilarang oleh aturan-aturan umum, diancam 
dengan pidana penjara paling lama enam tahun. 
(2) Turut serta dalam perkumpulan yang bertujuan melakukan pelanggaran, diancam 
dengan pidana penjara paling lama sembilan bulan atau pidana denda paling banyak 
empat ribu lima ratus rupiah. 
(3) Terhadap pendiri atau pengurus, pidana dapat ditambah sepertiga.
"
"Bab V";"Kejahatan Terhadap Ketertiban Umum";"Pasal 170";"(1) Barang siapa dengan terang-terangan dan dengan tenaga bersama menggunakan 
kekerasan terhadap orang atau barang, diancam dengan pidana penjara paling lama 
lima tahun enam bulan.
(2) Yang bersalah diancam: 
1. dengan pidana penjara paling lama tujuh tahun, jika ia dengan sengaja 
menghancurkan barang atau jika kekerasan yang digunakan mengakibatkan luka-luka;
2. dengan pidana penjara paling lama sembilan tahun, jika kekerasan 
mengakibatkan luka berat; 3. dengan pidana penjara paling lama dua belas tahun, 
jika kekerasan mengakibatkan maut. 
(3) Pasal 89 tidak diterapkan.
"
"Bab V";"Kejahatan Terhadap Ketertiban Umum";"Pasal 171";"Pasal ini ditiadakan berdasarkan Undang-undang no. 1 Tahun 1946, pasal 8, butir 
37.
"
"Bab V";"Kejahatan Terhadap Ketertiban Umum";"Pasal 172";"Barang siapa dengan sengaja mengganggu ketenangan dengan mengeluarkan teriakan- 
teriakan, atau tanda-tanda bahaya palsu, diancam dengan pidana penjara paling 
lama tiga minggu atau pidana denda paling banyak sembilan ratus rupiah.
"
"Bab V";"Kejahatan Terhadap Ketertiban Umum";"Pasal 173";"Barang siapa dengan kekerasan atau ancaman kekerasan merintangi rapat, umum yang 
diizinkan, diancam dengan pidana penjara paling lama satu tahun. 
"
"Bab V";"Kejahatan Terhadap Ketertiban Umum";"Pasal 174";"Barang siapa dengan sengaja mengganggu rapat umum yang diizinkan dengan jalan 
menimbulkan kekacauan atau suara gaduh, diancam dengan pidana penjara paling 
lama tiga minggu atau pidana denda paling banyak sembilan ratus rupiah.
"
"Bab V";"Kejahatan Terhadap Ketertiban Umum";"Pasal 175";"Barang siapa dengan kekerasan atau ancaman kekerasan merintangi pertemuan 
keagamaan yang bersifat umum dan diizinkan, atau upacara keagamaan yang 
diizinkan, atau upacara penguburan jenazah, diancam dengan pidana penjara paling 
lama satu tahun empat bulan.
"
"Bab V";"Kejahatan Terhadap Ketertiban Umum";"Pasal 176";"Barang siapa dengan sengaja mengganggu pertemuan keagamaan yang bersifat, umum 
dan diizinkan, atau upacara keagamaan yang diizinkan atau upacara penguburan 
jenazah, dengan menimbulkan kekacauan atau suara gaduh, diancam dengan pidana 
penjara paling lama satu bulan dua minggu atau pidana denda paling banyak seribu 
delapan ratus rupiah.
"
"Bab V";"Kejahatan Terhadap Ketertiban Umum";"Pasal 177";"Diancam dengan pidana penjara paling lama empat bulan dua minggu atau pidana 
denda paling banyak seribu delapan ratus rupiah:
1. barang siapa menertawakan seorang petugas agama dalam men- jalankan tugas 
yang diizinkan; 
2. barang siapa menghina benda-benda untuk keperluan ibadat di tempat atau padu 
waktu ibadat dilakukan. 
"
"Bab V";"Kejahatan Terhadap Ketertiban Umum";"Pasal 178";"Barang siapa dengan sengaja merintangi atau menghalang-halangi jalan masuk atau 
pengangkutan mayat ke kuburan yang diizinkan, diancam dengan pidana penjara 
paling lama satu bulan dua minggu atau pidana denda paling banyak seribu delapan 
ratus rupiah.
"
"Bab V";"Kejahatan Terhadap Ketertiban Umum";"Pasal 179";"Barang siapa dengan sengaja menodai kuburan atau dengan sengaja dan melawan 
hukum menghancurkan atau merusak tanda peringntan di tempat kuburan, diancam 
dengan pidana penjara paling lama satu tahun empat bulan. 
"
"Bab V";"Kejahatan Terhadap Ketertiban Umum";"Pasal 180";"Barang siapa dengan sengaja dan melawan hukum menggali atau mengambil jenazah 
atau memindahkan atau mengangkut jenazah yang sudah digali atau diambil, diancam 
dengan pidana penjara paling lama satu tahun empat bulan atau pidana denda 
paling banyak empat ribu lima ratus rupiah. 
"
"Bab V";"Kejahatan Terhadap Ketertiban Umum";"Pasal 181";"Barang siapa mengubur, menyembunyikan, membawa lari atau menghilangkan mayat 
dengan maksud menyembunyikan kematian atau kelahirannya, diancam dengan pidana 
penjara paling lama sembilan bulan atau pidana denda paling banyak empat ribu 
lirna ratus rupiah.
"
"Bab VI";"Perkelahian Tanding";"Pasal 182";"Dengan pidana penjara paling lama sembilan bulan, diancam: 
(1) barang siapa menantang seorang untuk perkelahian tanding atau rnenyuruh 
orang menerima tantangan, bilamana hal itu mengakibatkan perkelahian tanding;
(2) barang siapa dengan sengaja meneruskan tantangan, bilamana hal itu 
mengakibatkan perkelahian tanding.
"
"Bab VI";"Perkelahian Tanding";"Pasal 183";"Diancam dengan pidana penjara paling lama enam bulan atau pidana denda paling 
tinggi tiga ratus rupiah, barang siapa di muka umum atau di hadapan pihak ketiga 
mencerca atau mengejek seseorang oleh karena yang bersangkutan tidak rnau 
menentang atau menolak tantangan untuk perkelahian tanding. 
"
"Bab VI";"Perkelahian Tanding";"Pasal 184";"(1) Seseorang diancam dengan pidana penjara paling lama sembilan bulan, jika ia 
dalam perkelahian tanding itu tidak melukai tubuh pihak lawannya.
(2) Diancam dengan pidana penjara paling lama satu tahun dan empat bulan, barang 
siapa melukai tmbuh lawannya. 
(3) Diancam dengan pidana penjma paling lama empat tahun, barang siapa melukai 
berat tubuh lawannya.
(4) Barang siapa yang merampas nyawa lawannya, diancam dengan pidana penjara 
paling lama tujuh tahun, atau jika perkelahian tanding itu dilakukan dengan 
perjanjian hidup atau mati, diancam dengan pidana penjara paling lama dua belas 
tahun.
(5) Percobaan perkelahian tanding tidak dipidana. 
"
"Bab VI";"Perkelahian Tanding";"Pasal 185";"Barang siapa dalam perkelahian tanding merampas nyawa pihak lawan atau melukai 
tubuhnya, maka diterapkan ketentuan-ketentuan mengenai pembunuhan berencana, 
pembunuhan atau penganiayaan: 
1. jika persyaratan tidak diatur terlebih dahulu; 
2.jika perkelahian tanding tidak dilakukan di hadapan saksi kedua belah pihak;
3.jika pelaku dengmi sengaja dan merugikan pihak lawan, bersalah melakukan 
perbuatan penipuan atau yang menyimpang dari persy aratan.
"
"Bab VI";"Perkelahian Tanding";"Pasal 186";"(1) Para saksi dan dokter yang menghadiri perkelahian tanding, tidak dipidana.
(2) Para saksi diancam:
1.dengan pidana penjara paling lama tiga tahun, jika persyaratan tidak diatur 
terlebih dahulu, atau jika para saksi menghasut para pihak untuk perkelahian 
tanding; 
2. dengan pidana penjara paling lama empat tahun, jika para saksi dengan sengaja 
dan merugikan salah satu atau kedua belah pihak, bersalah melakukan perbuatan 
penipuan atau membiarkan para pihak melakukan perbuatan penipuan, atau 
membiarkan dilakukan penyimpangan daripada syarat-syarat;
3. ketentuan-ketentuan mengenai pembunuhan berencana, pembunuhan atau 
penganiayaan diterapkan terhadap saksi dalam perkelahian tanding, di mana satu 
pihak dirampas nyawanya atau menderita karena dilukai tubuhnya, jika ia dengan 
sengaja dan merugikan pihak itu bersalah melakukan perbuatan penipuan atau 
membiarkan penyimpangan dari persyaratan yang merugikan yang dikalahkan atau 
dilukai.
"
"Bab VII";"Kejahatan Yang Membahayakan Keamanan Umum Bagi Orang Atau Barang";"Pasal 187";"Barang siapa dengan sengaja menimbulkan kebakaran, ledakan atau banjir, diancam: 

1. dengan pidana penjara paling lama dua belas tahun, jika karena perbuatan 
tersebut di atas timbul bahaya umum bagi barang;
2. dengan pidana penjara paling lama lima belas tahun, jika karena perbuatan 
tersebut di atas timbul bahaya bagi nyawa orang lain; 3. dengan pidana penjara 
seumur hidup atau selama waktu tertentu paling lama dua puluh tahun, jika karena 
perbuatan tersebut di atas timbul bahaya bagi nyawa orang lain dan meng- 
akibatkan orang mati.
"
"Bab VII";"Kejahatan Yang Membahayakan Keamanan Umum Bagi Orang Atau Barang";"Pasal 187 bis";"(1) Barang siapa membuat, menerima, berusaha memperoleh, mempunyai persediaan, 
menyembunyikan, mengangkut otau memasukkan ke Indonesia bahan-bahan, benda- 
benda atau perkakas-perkakas yung diketahui atau selayaknya harus diduga bahwa 
diperuntukkan, atau kalau ada kesempatan akan diperuntukkan, untuk menimbulkan 
ledakan yang membahayakan nyawa orang atau menimbulkan bahaya umum bagi barang, 
diancam dengan pidana penjara paling lama delapan tahun atau pidana kurungan 
paling lama satu tahun,
(2) Tidak mampunya bahan-bahan, benda-benda atau perkakas- perkakas untuk 
menirnbulkan ledakan; seperti tersebut di atas, tidak menghapuskan pengenaan 
pidana. 
"
